Index,Text
30,금융권 대출이 어려운 신용불량자들을 중심으로 소액을 대출해 준 다음 폭리를 챙겨온 일당이 경찰에 붙잡혔습니다.
31,신용불량으로 은행권 대출이 어려운 서민들에게 돈을 빌려준 다음 불법으로 고액의 이자를 받아 챙긴 일당이 경찰에 붙잡혔습니다.
32,"이들은 조직원끼리 미리 정한 가명과 암호로 소통하고, 업무 지시도 전화로만 하는 등 철저한 점 조직 형태로 움직였습니다."
33,경찰은 지난달부터 모텔 주변에서 비슷한 사건이 발생한다는 신고를 받고 잠복근무하던 중 박씨를 붙잡았다.
34,이 사고로 머리 등을 크게 다친 조종사 김씨는 심정지 증상으로 119구급대원들의 심폐소생술을 받으며 병원으로 급히 옮겨졌으나 끝내 숨졌다.
35,"한 탑승객은 열기구가 나무 위로 떨어졌고, 조종사가 금방 다시 올라간다고 안심시키며 계속 조종했지만 결국 들판에 쿵하고 떨어졌다며 조종사가 가장 끝까지 붙들고 있다가 크게 다친 것 같다고 말했다."
36,선씨는 공범과 함께 이 회장의 모습이 담긴 성매매 동영상을 몰래 촬영하고 이를 이용해 삼성 측을 협박해 두차례에 걸쳐 총 9억원을 뜯어낸 혐의 등으로 기소됐다.
37,"음 제가 이제 초선 때입니다. 그때 택시회사에 갔을 때, 현 박원순 시장님에 대한 여러 가지 원망들을 많이 들으면서 저도 원망을 많이 받았습니다."
38,박원순 서울시장에 대해서 제가 아까 3선 피로감을 얘기했는데 3선 피로감을 느끼는 분들은 과거 구 새누리당을 지지하거나 보수성향을 가지고 있는 유권자들이라고 생각을 합니다. 
39,그렇다면 그분들이 박원순 서울시장의 4년 임기 연장에 대해서는 결사반대 막아야 된다는 심정이 있는 사람들이 있을 텐데 그분들의 표를 어딘가에 담아내야 하지 않습니까
40,자유한국당의 김문수 후보로 그 표를 담아내서 이길 수 있겠냐는 판단이 섰을 때 그렇지 않을 거야라고 하면 그 표는 저한테 주세요.
41,지금 안철수 대표를 다른 방향으로 과연 공격할 수 있을까. 이제 그게 박원순 시장한테도 어찌 보면 선거과정에서 딜레마가 될 거고 안철수 후보는 아까 말씀하셨던 것처럼 어떤 방식으로든지 서울시민들의 사표 방지 효과를 계속 자극할 거예요.
42,"그리고 이거는 본인도 과거 박원순 시장에 양보했다는 것에 정당성을 부여받으니까 그때는 잘할 줄 알았는데 지금 보니까 별로, 이쪽으로 박원순 시장을 공격하는 방향을 정할 것 같습니다."
43,그런데 이후 소개팅을 여러번 해 남자를 만나도 잘 이어지지 않아요. 뭐가 문제인지 모르겠어요. 저는 정말 최선을 다합니다.
44,"제대로 된 연애를 할 수 있는 방법을 궁금해하시네요. 자, 저는 이 질문을 다시 당신에게 되돌려드리고 싶습니다. 당신은 제대로 된 연애가 무엇이라고 생각하시나요"
45,"사실 우리들 중 꽤 많은 사람이 그렇게 달콤하게 시작해 행복한 결혼으로 마무리되는 연애를 하길 원하지만, 우리들 중 대부분이 맘대로 흘러가지 않는 관계에 의해 상처받고 깨지는 결말을 맞죠."
46,"처음에 만난 사람과 쉽게 결혼까지 하고, 그 결혼이 오랫동안 행복하게 유지되는 건 애초에 인간 세계에 잘 일어나는 일이 아니거든요."
47,"이번만큼은 다를 거야라고 힘주어 기대해보지만, 지난번에 틀렸던 문제를 또 틀리는 일은 비단 종이 위 시험문제를 풀 때만 일어나는 일이 아니더군요. "
48,"소중했던 사람과 행복한 시간을 통해 내가 누구인지 깨닫게 되고, 소중했던 사람과 싸우고 상처를 주고받으며 결국 이별하는 경험을 통해 또한 내가 누구인지 깨닫게도 되는 것이죠."
49,"그리고 대충 찍고 나서 당신이 찍은 정답이 100점이길 바라죠. 당신이 기대하는 로맨틱한 연애, 제대로 된 연애에 대한 기대란 사실 이토록 허황된 것입니다. "
50,"누군가를 사랑하기로 마음먹는 순간 상처도 함께 따라올 수 있다는 걸, 당신은 이미 첫번째의 짧은 연애에서 깨닫지 않았던가요."
51,남들이 뭐라고 하든 스스로 이 경험의 주체가 되는 것이야말로 연애가 주는 커다란 선물이 아니겠어요. 꽤 많은 순간을 우리는 나보다는 남에게 초점을 맞춰 살곤 하니까요. 
52,그리고 자기를 해피엔딩으로 구원해줄 사람만 기다리고 있는데 밀당은 또 어떻게 가능하겠어요? 선택받고 싶어 안달 난 사람은 나이와 성별을 떠나 우아할 수 없고 매력적일 수 없어요. 
53,"작은 것부터 스스로 선택하는 연습을 하세요. 내가 진짜 좋아하고 원하는 것, 싫어하고 피하고 싶은 것을 구분하는 연습부터 하세요."
54,상황이 흘러가는 대로 몸을 맡기기엔 행복한 연애와 행복한 결혼이라는 당신의 목표가 너무나 확고하잖아요.
55,물론 세상의 시계를 생각한다면 34살에 이 과정을 시작하는 것은 솔직히 조금 늦었죠. 하지만 아무것도 선택하지 않는 것보다 늦게라도 선택할 줄 아는 인생이 되는 것이 낫지 않나요
56,인터넷에서 화제가 되는 게시글에 대한 전문가의 의견을 들어보는 와글와글. 이번 이야기는 층간 소음으로 고통받는 사연이다.
57,"김씨는 인터넷에 소개된 층간 소음 퇴치법으로 고무망치, 우퍼등을 해봤지만 소용없었다면서 내 정신까지 폭력적이 되는데 어떻게 하면 좋겠느냐고 토로했다."
58,살인사건까지 일어날 정도로 당사자에게는 고통스럽기만 한 층간소음. 이같은 층간소음으로 인한 이웃 간 분쟁이 일어날 경우 아래층에 사는 사람은 어떤 구재를 받을 수 있을까.
59,이 변호사는 이어 환경부에 분쟁조정을 신청하거나 법원에 민사소송을 제기해서 손해배상을 청구할 수 있다. 배상금은 약50만원에서 100 만원정도 나올 수 있다고 덧붙였다.
60,이씨는 윗층 사람들이 여행을 가거나 해서 집이 비게 되면 너무나 평온해서 오히려 그렇게 살지 못하는 자신의 현실이 더욱 슬펐다고 느낌을 전했다.
61,그때 이후 최씨의 마음 속에는 증오가 차 올랐고 급기야 윗층 사람들을 죽이고 싶다는 충동이 들 정도로 고통을 호소하게 됐다는 것.
62,정부가 이동통신사의 사업비용과 일부 투자보수 산정근거자료 등 원가 자료를 공개해야 한다는 대법원 판결에 대해 이동통신사들은 영업비밀이 보호받지 못할 수 있다고 우려했다.
63,일단 법원의 판단을 존중하지만 민간 개별 기업의 정보를 보호받지 못하게 된 것은 아쉬운 일이 아닐 수 없다고 말했다. 일부 영업비밀 공개에 따른 부작용이 심히 걱정스럽다는 얘기다.
64,"텔레콤의 한 관계자는 다만 이번 판결은 영업 관련 일부 정보 공개 여부를 판단한 것으로, 일각에서 주장하는 것과 달리 요금 수준의 적정성 사안과는 관계가 없다고 설명했다."
65,"원가를 기준으로 요금이 높고 낮음을 판단하는 것은 어불성설이며, 이동통신요금은 원가 베이스로 설계돼 있지 않고 산업 특성, 기존 요금과의 비교, 경쟁상황, 이용자 수용도 등을 종합적으로 고려한다고 말했다."
66,원래 피고였던 방송통신위원회의 관련 업무를 이어받은 과학기술정보통신부의 담당 업무 관계자는 판결문이 송달되는대로 절차에 따라 자료를 공개할 예정이라고 설명했다. 
67,경찰은 기지 입구에 인간 방패를 형성한 반대 주민들을 해산하고 진입 장애물을 모두 치운 뒤 차량을 진입시킬 계획이지만 어려움을 겪고 있습니다.
68,경찰은 우선 인간방패를 형성하고 있는 사드 반대 단체와 주민 백여 명을 강제 해산시키는 작업에 들어갔습니다.
69,하지만 시위대의 저항이 거센 데다 트럭 등 장애물을 치우기 쉽지 않아 작전 완료까지는 예상보다 많은 시간이 걸릴 수도 있습니다.
70,"국방부는 오늘 사드 기지 내 차량 진입은 지난해 11월 기지 안에 반입했던 포크레인과 지게차, 불도저 등 공사 장비를 실어 내는 작업이라고 밝혔습니다."
71,조직문제는 지난해 10월에 있었던 당중앙위원회 전원회의 후속 조치 차원에서 다뤄졌다. 모두 김정은 위원장의 제의와 위임을 전제로 결정됐다. 
72,"더불어 박태성을 최고인민회의 상임위원회 위원에서 해임하고 정영국 대의원을 최고인민회의 상임위원회 서기장으로 보선했다. 김수길, 박철민, 김창엽도 최고인민회의 상임위원회 위원에 이름을 올렸다. "
73,"신문은 아울러 지난 11일 김정은 위원장의 국가 최고수위 추대 6주년을 경축하기 위한 청년학생, 여성동맹들의 무도회가 진행됐다고 전했다."
74,지난해 라면 시장 규모가 3년만에 역성장하면서 2조원 아래로 추락한 가운데 2위 업체 오뚜기 역시 7년만에 국내 라면 매출액이 역성장한 것으로 집계됐다.
75,"오뚜기의 국내 라면 가격이 11년째 동결돼 원재료 등의 부담과 더불어 전체적인 라면 시장 축소, 프리미엄 라면의 역성장 영향을 받았다는 게 업계 전문가들의 분석이다. "
76,오뚜기의 면제품류 매출액 역시 하락했다. 면제품류 매출액에는 라면 뿐만 아니라 모든 면 제품의 매출이 포함되어 있다.
77,대기표를 받고 미계약 물량을 기다리는 예비당첨자들이 부적격 조사를 철저히 해달라며 각종 민원을 쏟아내는 한편 현장에서는 이를 반영해 계약 일정을 연장했다.
78,"기존 당첨자를 대상으로 부적격 여부에 대한 국토부의 조사가 진행돼야 하기 때문으로, 조사 속도에 따라 추첨일이 확정,통보될 예정이다."
79,3선에 도전하는 서울시장은 박 시장이 처음이다. 오세훈 시장의 사퇴로 2011년 치러진 보궐선거에서 당선된 박 시장은 6년 넘게 시정을 돌보고 있다.
80,시는 외국인 관광객의 패턴이 단순히 둘러보는 '유람형'에서 보고 듣고 느끼는 체험형으로 바뀜에 따라 지역의 독특한 특성을 가진 장소이자 시민의 살아있는 이상을 경험할 수 있는 전통시장이 관광 명소로 부상하고 있다고 설명했다.
81,"시는 이번 조사 분석 결과를 외국인 관광객의 불편한 점을 없애는 토대로 삼고, 시 관광 정책의 중요한 자료로 활용할 것이라고 전했다. "
82,4월 임시국회가 지난 2일 문을 열었지만 여야의 대충돌로 의사일정 조차 합의를 하지 못하면서 4월 임시국회를 통째로 날리는 게 아니냐는 우려가 나오지만 여야는 자신들의 입장만 고수한채 요지부동이다. 
83,하지만 핵심인 권력구조 개편과 개헌 시기 등을 놓고 좀처럼 입장 차를 좁히지 못해 여야 협상이 한발 짝도 나아가지 못하고 있는 상황이다. 
84,청년실업과 지역경제의 어려움을 해결하기 위한 특단의 대책으로 내놓은 추경안에 대해서도 4월 임시국회에서 처리되지 못하면 추경의 목적을 달성하기 어렵다는 여당과 지방선거를 앞둔 선심성 추경이라는 야당의 입장이 팽팽하다. 
85,여기에 김기식 금융감독원장이 19대 의원 시절 외유성 출장을 다녀왔다는 의혹마저 정쟁화가 되면서 4월 국회 정상화 가능성은 점점 요원해 보인다.
86,문제는 여야 모두 지금의 난국을 타개할 해법을 찾는 게 아니라 네 탓 공방만 벌이고 있다는 것이다. 국회가 정쟁에 파묻혀 셀프 휴업을 하고 있다는 비판의 목소리에도 아랑곳하지 않는 모습이다.
87,야당은 김 원장에 대한 과도한 금도를 넘어선 정치공세를 멈추고 제발 국회가 해야 할 일을 하기 바란다고 비판했다.
88,"하지만 야당은 이날도 김 원장에 대한 대대적 공세에 치중하는 모습을 보였다. 특히 그간 김 원장 낙마를 요구했던 자유한국당, 바른미래당, 민주평화당에 이날 정의당도 김기식 낙마열차에 동승을 결정했다."
89,최석 정의당 대변인은 이날 열린 상무위원회의 직후 브리핑에서 김 원장 본인의 외유성 출장 의혹으로 정부 금융개혁의 발목을 잡을 수 있기 때문에 자진사퇴를 촉구하기로 했다고 밝혔다.
90,앞서 금융감독원이 발표한 검사 결과에 따르면 과징금 부과대상인 1993년 8월 12일 긴급재정경제명령 시행 전 개설된 계좌의 자금 출연자가 이건희 삼성그룹 회장인 27개 차명계좌의 당시 금융자산 가액은 61억8000만원으로 확인됐다.
91,그는 자신의 결정이 가족과 더 많은 시간을 보내기 위함이며 백악관이 겪고 있는 혼돈과는 관련이 없다는 입장을 밝혔지만 일부 공화당 의원의 비난을 완전히 피하지는 못하고 있다.
92,"워싱턴포스트에 따르면 2015년 신임 하원의장을 선출할 때 공화당 의원들은 당내 보수·기득권층을 하나로 통합할 수 있는 능력을 지녔으며, 모든 사람들에게 좋은 평가를 받는 보수주의자를 뽑겠다는 일념으로 라이언을 선택했다."
93,라이언 의장의 은퇴 결심 배경에는 트럼프 대통령으로 인한 좌절감이 있다는 견해가 나온다. 트럼프 행정부 출범 뒤 공화당은 대통령의 잦은 스캔들과 이로 인한 지지율 급락으로 골머리를 앓아왔다.
94,현재로썬 라이언의 은퇴 발표가 공화당 지지자나 기부자들의 사기를 저하시키는 계기가 될 것이라는 관측이 지배적이다. 그의 은퇴 소식은 특히 하원 공화당 의원들의 이탈이 계속되고 있는 가운데 나온 것이기도 하다.
95,공석이 되는 라이언 의장의 의석을 차지하기 위해선 오는 6월1일까지 출마 등록을 마쳐야 한다. 위스콘신 공화당 경선은 8월14일 치러진다.
96,민주당 측에서는 랜디 브라이스와 캐시 마이어스가 공화당 우세주인 위스콘신을 블루 스테이트로 만들기 위한 움직임에 들어갔다. 온라인 매체 복스는 라이언 의장의 은퇴가 민주당 후보들에게는 기회가 될 것으로 전망했다.
97,미국의 환율보고서 발표가 임박한 가운데 김동연 부총리 겸 기획재정부 장관이 미국 재무장관과의 통화에서 한국은 환율조작국 요건에 해당하지 않는다고 재차 강조했다.
98,3월 19일 아르헨티나 부에노스아이레스에서의 양자면담에서 주요 이슈에 대해 언제든 수시로 전화통화 등을 통해 긴밀하게 소통하고 협의해 나가기로 한데 따라 이뤄진 것이라고 기재부는 설명했다.
99,김 부총리는 또 흑자폭이 크게 축소된 지난해 대미 무역수지 및 경상수지 동향 등을 설명하고 한국은 미국 환율보고서상 환율조작국이나 심층분석대상국 요건에 해당되지 않는다. 이런 점들이 환율보고서에 잘 반영되길 기대한다고 말했다.
100,"반면, 대한항공 관계자는 당시 업체에 영국 광고를 위해 여러 곳을 찍어오라고 주문했는데 제대로 찍어오지 않았고 이에 흡족하지 못한 조 전무가 화를 낸 것이라며 조 전무가 회의하다가 직원에게 소리를 질렀지만 물이나 음료수를 뿌리지는 않았다고 부인했다."
101,12일 광고업계에 따르면 조 전무는 지난달 대한항공의 광고대행을 맡고 있는 A업체와의 회의 자리에서 광고팀장인 직원에게 물을 뿌린 것으로 알려졌다.
102,조 전무는 회의에 참석한 광고대행사 팀장이 대한항공의 영국편 광고 캠페인과 관련해 자신의 질문에 제대로 답변을 못하자 격노해 얼굴에 물을 뿌리고 회의장에서 쫓아낸 것으로 전해졌다. 
103,1차로 음료수가 들어있는 병을 던졌는데 안깨졌다. 그러자 분이 안풀려 물을 뿌렸다는 글이 올라왔다. 이런 의혹은 광고업계 전반으로 확산되고 있는 상황이다.
104,더 큰 문제는 갑질 피해를 입은 업체가 조 전무에게 사과를 했다는 점이다. 관련자들에 따르면 업체 사장이 대한항공측에 사과의 뜻을 전달한 것으로 알려졌다.
105,얼굴에 물을 뿌리는 행위는 폭행죄로 분류돼 형사처벌을 받을 수 있다. 앞서 지난 2015년 서울중앙지법은 부동산 중개인과 말다툼하다 종이컵에 물을 담아 뿌린 혐의로 기소된 주부 김씨에게 벌금 70만형을 선고한바 있다.
106,"오승환은 첫 타자 애덤 존스를 상대로 변화구 3개로 1볼 2스트라이크를 잡은 후 높은 포심 패스트볼로 헛스윙 삼진을 잡았다. 하지만 곧이어 페드로 알바레스에게 우중간을 가르는 2루타, 크리스 데이비스에게 좌익수 앞 안타를 맞아 1사 1,3루의 실점 위기에 놓였다."
107,"오승환의 동갑내기 친구 추신수는 같은 날 미국 텍사스주 알링턴에 위치한 글로브 라이프 파크에서 열린 LA 에인절스와의 홈경기에 1번, 지명타자로 선발 출전해 4타수 1안타 1볼넷을 기록했다."
108,이날 추신수와 맞붙은 이도류 야구 천재 에인절스 오타니 쇼헤이는 8번 지명타자로 선발 출전해 3타수 1안타 1타점 1볼넷을 기록했다.
109,"8회 초에는 선두타자로 등장해 제이크 디크먼을 상대로 볼넷을 골라냈지만, 1루에서 견제구로 아웃 당했다. 오타니의 시즌 타율도 0.368에서 0.364로 약간 낮아졌다."
110,9년만에 돌아온 정 사장이 가장 먼저 한 일은 회사의 상태를 정확하게 진단하는 작업이었다. 이 과정에서 전임 경영진의 분식회계 등 각종 불법행위가 드러났다.
111,정 사장은 이를 정리하지 않고는 정상적인 경영이 불가능하다는 판단하에 수년간 방치해왔던 조 단위 적자폭탄을 터뜨렸다.
112,그는 취임 이후 구조조정의 필요성을 역설하며 노조를 설득하는 한편 급여 전액 반납 등 회사의 경영정상화를 위해 솔선수범했다.
113,지난해 영업이익 흑자 달성과 더불어 올해 연간 수주목표 달성 가능성도 점쳐지면서 정 사장의 연임도 청신호가 켜진 상황이다.
114,회사 내부 분위기는 물론 대우조선 노조 역시 정 사장의 연임을 크게 반대하는 목소리는 찾기 힘들다. 정 사장은 전임 경영진에 비해 노동조합과의 커뮤니케이션에도 적극적이라는 평가를 받고 있기 때문이다.
115,지난달 정기 주주총회에선 상정 안건에 사장 선임 건이 빠지면서 정 사장의 연임 불가론이 일기도 했다. 업계에선 그럼에도 불구하고 정 사장 외에 마땅한 인물의 하마평이 거론되지 않는 것은 연임이 유력하다는 방증으로 보고 있다.
116,정 사장의 임기는 다음달 28일 만료된다. 구원투수로 등판한 정 사장이 마무리 투수로서의 역할도 맡을지 기대되는 가운데 연임 여부는 다음달 열리는 임시 이사회에서 최종 결정될 전망이다.
117,11일 대한제강에 따르면 지난 10일 신평공장에서 작업중이던 근로자가 사망한 것으로 알려졌다.
118,신평공장은 이날 재해발생으로 인해 부산지방고용노동청으로부터 전면작업중지명령서를 받은 것으로 알려졌다.
119,대한제강 관계자는 현재 재해발생 원인 등을 조사 중에 있다며 재해 원인 파악 후 조치를 완료하고 지방노동청의 확인을 받아 작업을 재개할 예정이라고 말했다.
120,본사 지하 1층 국제회의장에서 2018 코리아 브랜드 한류박람회 한류 홍보대사 위촉식이 열려 홍보대사 엔시티127 태용이 참석하였다.
121,임현주 아나운서가 안경을 쓰고 뉴스를 진행해 화제에 오른 가운데 이에 대한 소감을 밝혀 눈길을 끌고 있다.
122,임현주 아나운서는 12일 자신의 인스타그램에 오늘 안경을 끼고 뉴스를 진행했습니다. 속눈썹을 붙이지 않으니 화장도 간단해지고 건조해서 매일 한통씩 쓰던 눈물약도 필요가 없더라고요라는 글과 함께 한 장의 사진을 게재했다.
123,앞서 임현주 아나운서는 이날 오전 뉴스투데이에서 지상파 여자 앵커 최초로 안경을 쓴 채 뉴스를 진행해 화제를 모았다. 임현주 아나운서의 이름은 포털사이트 검색어 상위권을 오르내리며 큰 반향을 불러일으키고 있다.
124,홍준표 자유한국당 대표와 김성태 원내대표가 12일 오전 서울 여의도 국회 의원회관 대회의실에서 열린 자유한국당 6.13 지방선거 후보자 출정식에서 손피켓을 교환하고 있다.
125,"마크 저커버그가 10일 워싱턴 상원 법사위원회와 상무위원회의 합동 청문회에 출석해, 페이스북 이용자 수천만 명의 개인정보가 무단으로 유출돼 지난 대선 과정에 이용됐다는 의혹과 관련한 증언을 하고 있다."
126,그는 영국 정보분석업체인 케임브리지 애널리티카가 관여한 페이스북 이용자 수천만명의 정보유출 사태와 관련해 증언을 하게 된다. 저커버그가 의회 청문회에 출석하는 것은 이번이 처음이다.
127,페이스북은 저커버그가 무사히 청문회를 마칠 수 있도록 수주에 걸쳐 준비해 왔다. 8일 뉴욕타임스에 따르면 페이스북은 공개석상에 나서는데 익숙하지 않은 저커버그의 환골탈태를 위해 외부 전문가들을 고용했다.
128,법무법인 윌머헤일 소속이자 조지 부시 전 대통령의 특별 보좌관 출신인 레지널드 브라운이 이끄는 전문가 팀의 목표는 저커버그를 반항적이고 비밀스러운 거물에서 잘못을 뉘우치는 개방적인 청년으로 보이게 만드는 것이다. 
129,"이들은 예상 질문 외에도 답변을 할 때의 속도, 말을 하는 도중 가로막혔을 때 대응하는 법까지 지도하는 것으로 알려졌다. 익명을 요구한 내부 관계자는 페이스북에서 모의 청문회가 열리기도 했다고 전했다."
130,민주당 의원들은 정보유출에 따른 사생활 침해 문제 외에도 11월 중간선거를 앞두고 페이스북이 악용될 가능성을 막을 방안을 질문할 것으로 보인다.
131,공화당 의원들은 사생활 문제를 언급하기보다 소셜미디어의 정치적 편향성에 대한 의혹을 제기할 전망이다.
132,"저커버그는 페이스북의 잘못을 인정하면서도, 최근 도입을 약속한 개인정보 정책을 설명함으로써 개선 의지를 피력할 것으로 여겨진다."
133,두산 포수 양의지는 지난 10일 대구 삼성 라이온즈 파크에서 열린 삼성 라이온즈와 방문 경기에서 7회 말 바뀐 투수 곽빈의 연습투구 때 공을 잡지 않고 살짝 피했다.
134,"이에 따라 공이 정종수 주심을 향해 날아갔고 주심이 황급히 피하면서 다치지는 않았지만, 고의성 논란이 불거졌다."
135,앞서 양의지가 7회 초 심판의 스트라이크 판정에 불만스러운 표정을 보였기 때문에 공을 피한 것이 고의적인 행동이지 않았느냐는 지적이 일었다.
136,상벌위는 내규 7항이 정한 벌금 중 최고 수위인 300만 원을 양의지에게 부과했다. 그러나 팀에 타격을 입힐 수 있는 출장 정지 처분은 하지 않았다.
137,고의성 여부를 떠나 그라운드에서 일어나서는 안 될 위험한 상황이 발생한 것을 경고한 것이라며 상벌위는 양의지가 앞선 스트라이크·볼 판정에 대한 불만을 표했다는 의도성에 대해서는 크게 보지 않았다고 설명했다.
138,장윤호 사무총장은 대다수 전문가도 여러 카메라와 많은 팬이 지켜보는 현대 야구에서 일부러 공을 놓쳐 심판을 해하는 행동을 벌이지는 않을 것이라는 의견을 주셨다.
139,"김태형 두산 감독도 바로 양의지를 불러 경고했고, 양의지도 반성하는 모습을 보였다며 정상 참작도 있었음을 시사했다."
140,카카오 택시가 어제부터 유료 서비스 스마트호출 기능을 추가했습니다. 이용자가 천 원을 내고 스마트호출을 하면 인공지능이 적용된 기술로 잘 응답할 것 같은 기사에게 배차 정보가 전달되는 개념입니다.
141,"기존의 무료 호출과 별개로 유료 서비스, 다시 말해 상품입니다. 카카오 택시 앱 자체가 택시를 호출하기 위한 중개 상품인데 그동안 무료로 제공했으니 조금 더 차별화된 유료 상품인 셈입니다."
142,택시업계에서는 카카오가 독점적 지위를 남용해 택시비 인상을 하려 한다는 논란에 휩싸였고 3월 말 서비스를 강행하려 했던 카카오는 일단 시점을 연기했습니다.
143,"이어 국토부가 기존 택시 콜 이용료, 그러니까 서울시 기준으로 주간 1천 원, 야간 2천 원에 준해야 한다는 권고안을 제시하자 이를 그대로 받아들이는 듯했습니다."
144,"그러나 지자체와의 협의 과정에서 또 한 번 난관에 부딪힌 카카오는 결국 유료화 시행 전날 밤 주,야간 구분 없이 모두 1천 원으로 결정했습니다."
